School_Code,School_Name,School_Type,Function,Contact_Name,Address,Town,State,Zip,Phone,Fax,Grade,District,District_Code,Total_Enrollment,Percent_Students_Disabilities,Percent_Males,Percent_Females,Number_Classes,Average_Class_Size,Number_Students,Average_Salary,Total_Expenditures,Expenditures_per_Pupil,PPI
10505,Abington High,Public School,Principal,Teresa Sullivan-Cruz,201 Gliniewicz Way,Abington,MA,2351,781-982-2160,781-982-0061,"09,10,11,12",Abington,10000,452,9.7,45.6,54.4,204,15.8,451,74662,27229100.8,13270.84,63
10003,Beaver Brook Elementary School,Public School,Principal,Catherine Zinni,1 Ralph Hamlin Lane,Abington,MA,2351,781-982-2185,781-982-2187,"01,02,03,04",Abington,10000,580,13.3,50.2,49.8,325,24.6,643,74662,27229100.8,13270.84,63
10002,Center Elementary School,Public School,Principal,Lora Monachino,201 Gliniewicz Way,Abington,MA,2351,781-982-2195,781-982-0053,"PK,K",Abington,10000,203,21.2,54.2,45.8,112,14.6,208,74662,27229100.8,13270.84,63
10405,Frolio Middle School,Public School,Principal,Matthew MacCurtain,201 Gliniewicz Way,Abington,MA,2351,781-982-2170,781-982-2173,"07,08",Abington,10000,328,13.1,53.4,46.6,218,21.1,342,74662,27229100.8,13270.84,63
10015,Woodsdale Elementary School,Public School,Principal,Jonathan Hawes,128 Chestnut Street,Abington,MA,2351,781-982-2180,781-982-2184,"05,06",Abington,10000,353,10.8,50.7,49.3,121,30.4,334,74662,27229100.8,13270.84,63
30025,Acushnet Elementary School,Public School,Principal,Susan Beck,800 Middle Road,Acushnet,MA,2743,508-998-0255,508-998-0259,"PK,K,01,02,03,04",Acushnet,30000,538,14.3,53.2,46.8,237,20.1,558,64906,15201154.44,11860.15,50
30305,Albert F Ford Middle School,Public School,Principal,Michelle Silvia,708 Middle Road,Acushnet,MA,2743,508-998-0265,508-998-7316,"05,06,07,08",Acushnet,30000,417,13.7,50.8,49.2,309,16.9,426,64906,15201154.44,11860.15,50
50003,Agawam Early Childhood Center,Public School,Principal,Robin Fernandes,108 Perry Lane,Agawam,MA,1001,413-821-0598,413-821-0596,PK,Agawam,50000,151,41.1,57.6,42.4,16,11.9,191,64769,59044278.63,14363.21,54
50505,Agawam High,Public School,Principal,Thomas Schnepp,760 Cooper Street,Agawam,MA,1001,413-821-0521,413-821-0536,"09,10,11,12",Agawam,50000,1222,14.1,52,48,590,16.8,1242,64769,59044278.63,14363.21,54
50405,Agawam Junior High,Public School,Principal,Norman Robbins,1305 Springfield St,Feeding Hills,MA,1030,413-821-0561,413-786-4240,"07,08",Agawam,50000,562,14.9,47.9,52.1,847,11.8,607,64769,59044278.63,14363.21,54
50020,Benjamin J Phelps,Public School,Principal,Noelle Colbert,689 Main Street,Agawam,MA,1001,413-821-0587,413-786-0497,"K,01,02,03,04",Agawam,50000,385,13,52.7,47.3,229,16.8,361,64769,59044278.63,14363.21,54
50010,Clifford M Granger,Public School,Principal,Cheryl Salomao,31 So. Westfield Street,Feeding Hills,MA,1030,413-821-0581,413-821-0595,"K,01,02,03,04",Agawam,50000,293,19.1,50.2,49.8,159,19.8,296,64769,59044278.63,14363.21,54
50030,James Clark School,Public School,Principal,Shelley Russell,65 Oxford Street,Agawam,MA,1001,413-821-0576,413-821-0594,"K,01,02,03,04",Agawam,50000,329,17.6,53.2,46.8,182,18.2,315,64769,59044278.63,14363.21,54
50303,Roberta G. Doering School,Public School,Principal,Susan Federico,68 Main Street,Agawam,MA,1001,413-789-1400,413-789-7337,"05,06,07,08",Agawam,50000,599,15.2,53.4,46.6,348,16.8,598,64769,59044278.63,14363.21,54
50025,Robinson Park,Public School,Principal,Nicholas Bernier,65 Begley Street,Agawam,MA,1001,413-821-0584,413-786-9793,"K,01,02,03,04",Agawam,50000,377,13,51.7,48.3,229,17.7,385,64769,59044278.63,14363.21,54
70005,Amesbury Elementary,Public School,Principal,Walter Helliesen,20 South Hampton Road,Amesbury,MA,1913,978-388-3659,978-388-4961,"PK,K,01,02,03,04",Amesbury,70000,388,20.4,52.3,47.7,171,20.4,423,77147,33668081.3,13771.87,50
70505,Amesbury High,Public School,Principal,Elizabeth McAndrews,5 Highland Street,Amesbury,MA,1913,978-388-4800,978-388-3393,"09,10,11,12",Amesbury,70000,594,17,53.5,46.5,380,16.7,621,77147,33668081.3,13771.87,50
70515,Amesbury Innovation High School,Public School,Principal,Eryn Maguire,71 Friend Street,Amesbury,MA,1913,978-388-8037,978-388-8073,"09,10,11,12",Amesbury,70000,31,51.6,64.5,35.5,42,7.6,33,77147,33668081.3,13771.87,50
70013,Amesbury Middle,Public School,Principal,Michael Curry,220 Main Street,Amesbury,MA,1913,978-388-0515,978-388-1626,"05,06,07,08",Amesbury,70000,679,17.7,51.1,48.9,410,18.4,696,77147,33668081.3,13771.87,50
70010,Charles C Cashman Elementary,Public School,Principal,Mary Charette,193 Lions Mouth Road,Amesbury,MA,1913,978-388-4407,978-388-4479,"PK,K,01,02,03,04",Amesbury,70000,458,24,53.5,46.5,188,22.1,509,77147,33668081.3,13771.87,50
80009,Crocker Farm Elementary,Public School,Principal,Derek Shea,280 West Street,Amherst,MA,1002,413-362-1600,413-256-0835,"PK,K,01,02,03,04,05,06",Amherst,80000,404,21.8,50.5,49.5,109,18.1,405,71730,25999942,20236.57,54
80020,Fort River Elementary,Public School,Principal,Diane Chamberlain,70 So East Street,Amherst,MA,1002,413-362-1200,413-256-5941,"K,01,02,03,04,05,06",Amherst,80000,335,21.5,49.6,50.4,99,20.2,348,71730,25999942,20236.57,54
80050,Wildwood Elementary,Public School,Principal,Nicholas Yaffe,71 Strong Street,Amherst,MA,1002,413-362-1400,413-549-9519,"K,01,02,03,04,05,06",Amherst,80000,409,15.4,52.6,47.4,118,20.1,417,71730,25999942,20236.57,54
90505,Andover High,Public School,Principal,Philip Conrad,80 Shawsheen Road,Andover,MA,1810,978-247-5500,978-247-5770,"09,10,11,12",Andover,90000,1806,16.1,48.9,51.1,1160,14.7,1799,81211,97309355.83,15601.7,83
90310,Andover West Middle,Public School,Principal,Rebecca Franks,70 Shawsheen Road,Andover,MA,1810,978-247-5400,978-247-5490,"06,07,08",Andover,90000,532,16.7,46.2,53.8,276,19.9,541,81211,97309355.83,15601.7,83
90003,Bancroft Elementary,Public School,Principal,Michelle Costa,15 Bancroft Street,Andover,MA,1810,978-247-9500,978-247-9590,"K,01,02,03,04,05",Andover,90000,593,16.5,51.8,48.2,191,22.1,614,81211,97309355.83,15601.7,83
90305,Doherty Middle,Public School,Principal,Robin Wilson,50 Bartlet Street,Andover,MA,1810,978-247-9400,978-247-9490,"06,07,08",Andover,90000,561,20,50.8,49.2,293,19.4,557,81211,97309355.83,15601.7,83
90010,Henry C Sanborn Elementary,Public School,Principal,Jason DiCarlo,90 Lovejoy Road,Andover,MA,1810,978-247-9700,978-247-9790,"K,01,02,03,04,05",Andover,90000,381,14.2,54.9,45.1,123,22.1,397,81211,97309355.83,15601.7,83
90004,High Plain Elementary,Public School,Principal,Pamela Lathrop,333 High Plain Road,Andover,MA,1810,978-247-8600,978-247-8690,"K,01,02,03,04,05",Andover,90000,515,14,53.6,46.4,151,23.7,522,81211,97309355.83,15601.7,83
90005,Shawsheen School,Public School,Principal,Carol Green,18 Magnolia Avenue,Andover,MA,1810,978-247-8200,978-247-8290,PK,Andover,90000,73,49.3,53.4,46.6,8,12.5,100,81211,97309355.83,15601.7,83
90020,South Elementary,Public School,Principal,Tracy Crowley,55 Woburn Street,Andover,MA,1810,978-247-9800,978-247-9890,"K,01,02,03,04,05",Andover,90000,493,15.6,50.9,49.1,157,21.9,503,81211,97309355.83,15601.7,83
90025,West Elementary,Public School,Principal,Elizabeth Roos,58 Beacon Street,Andover,MA,1810,978-247-5300,978-247-5390,"K,01,02,03,04,05",Andover,90000,636,20.9,51.7,48.3,199,22.9,662,81211,97309355.83,15601.7,83
90350,Wood Hill Middle School,Public School,Principal,Patrick Bucco,11 Cross Street,Andover,MA,1810,978-247-8800,978-247-8890,"06,07,08",Andover,90000,419,18.9,45.8,54.2,232,18.6,423,81211,97309355.83,15601.7,83
100505,Arlington High,Public School,Principal,Matthew Janger,869 Mass Avenue,Arlington,MA,2476,781-316-3591,781-316-3504,"09,10,11,12",Arlington,100000,1290,11.1,49.1,50.9,682,14.3,1255,66493,72601544.08,13382.77,76
100010,Brackett,Public School,Principal,Stephanie Zerchykov,66 Eastern Avenue,Arlington,MA,2476,781-316-3705,781-316-3710,"K,01,02,03,04,05",Arlington,100000,476,11.8,52.1,47.9,182,18.3,475,66493,72601544.08,13382.77,76
100025,Cyrus E Dallin,Public School,Principal,Thad Dingman,185 Florence Avenue,Arlington,MA,2476,781-316-3722,781-316-3727,"K,01,02,03,04,05",Arlington,100000,466,14.2,51.9,48.1,195,16.9,471,66493,72601544.08,13382.77,76
100030,Hardy,Public School,Principal,Kristin Defrancisco,52 Lake Street,Arlington,MA,2474,781-316-3781,781-316-3717,"K,01,02,03,04,05",Arlington,100000,451,12.9,54.3,45.7,133,21.6,410,66493,72601544.08,13382.77,76
100005,John A Bishop,Public School,Principal,Mark McAneny,25 Columbia Road,Arlington,MA,2474,781-316-3791,781-316-3747,"K,01,02,03,04,05",Arlington,100000,425,9.2,49.4,50.6,126,23.7,427,66493,72601544.08,13382.77,76
100055,M Norcross Stratton,Public School,Principal,Michael Hanna,180 Mountain Avenue,Arlington,MA,2474,781-316-3754,781-316-3666,"K,01,02,03,04,05",Arlington,100000,396,14.1,49.7,50.3,161,17.2,396,66493,72601544.08,13382.77,76
100038,Menotomy Preschool,Public School,Principal,Joyce Schlenger,869 Massachusetts Avenue,Arlington,MA,2476,781-316-3698,781-316-3504,PK,Arlington,100000,70,52.9,62.9,37.1,5,14.4,72,66493,72601544.08,13382.77,76
100410,Ottoson Middle,Public School,Principal,Eileen Woods,63 Acton Street,Arlington,MA,2476,781-316-3745,781-641-5436,"06,07,08",Arlington,100000,1208,15.1,47,53,639,19.1,1148,66493,72601544.08,13382.77,76
100045,Peirce,Public School,Principal,Karen Hartley,85 Park Avenue Ext,Arlington,MA,2474,781-316-3736,781-316-3748,"K,01,02,03,04,05",Arlington,100000,276,11.6,49.6,50.4,84,22,264,66493,72601544.08,13382.77,76
100050,Thompson,Public School,Principal,Karen Donato,187 Everett Street,Arlington,MA,2474,781-316-3768,781-316-1419,"K,01,02,03,04,05",Arlington,100000,466,9,51.9,48.1,133,23,437,66493,72601544.08,13382.77,76
140505,Ashland High,Public School,Principal,Kelley St. Coeur,65 East Union St.,Ashland,MA,1721,508-881-0177,508-881-0186,"09,10,11,12",Ashland,140000,744,13.2,48.8,51.2,431,14.6,746,76355,37183646.87,13607.92,72
140405,Ashland Middle,Public School,Principal,David DiGirolamo,87 West Union Street,Ashland,MA,1721,508-881-0167,508-881-0169,"06,07,08",Ashland,140000,587,14.5,48.7,51.3,388,19.1,621,76355,37183646.87,13607.92,72
140015,David Mindess,Public School,Principal,Michael Caira,90 Concord Street,Ashland,MA,1721,508-881-0166,508-881-0153,"03,04,05",Ashland,140000,620,17.1,50.6,49.4,230,21.7,601,76355,37183646.87,13607.92,72
140010,Henry E Warren Elementary,Public School,Principal,Peter Regan,73 Fruit Street,Ashland,MA,1721,508-881-0188,508-881-0191,"K,01,02",Ashland,140000,619,12.6,49.8,50.2,143,21.2,616,76355,37183646.87,13607.92,72
140005,William Pittaway Elementary,Public School,Principal,Patricia White,75 Central Street,Ashland,MA,1721,508-881-0160,508-881-0193,PK,Ashland,140000,131,20.6,51.9,48.1,21,7.1,141,76355,37183646.87,13607.92,72
160001,A. Irvin Studley Elementary School,Public School,Principal,Joanne DiPalma,299 Rathbun Willard Drive,Attleboro,MA,2703,508-222-2621,508-226-0419,"K,01,02,03,04",Attleboro,160000,441,15.4,52.6,47.4,206,20.5,448,76386,81366329.22,12980.4,64
160515,Attleboro Community Academy,Public School,Principal,William Runey,100 Rathbun Willard Drive,Attleboro,MA,2703,508-222-5150,508-223-1579,"09,10,11,12",Attleboro,160000,63,9.5,54,46,50,7.6,72,76386,81366329.22,12980.4,64
160505,Attleboro High,Public School,Principal,William Runey,100 Rathbun Willard Drive,Attleboro,MA,2703,508-222-5150,508-223-1579,"09,10,11,12",Attleboro,160000,1671,14.2,54.2,45.8,930,18.1,1724,76386,81366329.22,12980.4,64
160315,Cyril K. Brennan Middle School,Public School,Principal,Frederick Souza,320 Rathbun Willard Drive,Attleboro,MA,2703,508-222-6260,508-223-1555,"05,06,07,08",Attleboro,160000,552,14.9,53.3,46.7,227,20.8,558,76386,81366329.22,12980.4,64
160008,Early Learning Center,Public School,Principal,Veronica Learned,7 James St,Attleboro,MA,2703,508-223-1563,508-223-1589,PK,Attleboro,160000,187,45.5,61.5,38.5,30,7.2,208,76386,81366329.22,12980.4,64
160045,Hill-Roberts Elementary School,Public School,Principal,Frank Rich,80 Roy Avenue,Attleboro,MA,2703,508-399-7560,508-399-7284,"K,01,02,03,04",Attleboro,160000,467,12.6,55,45,180,23.9,479,76386,81366329.22,12980.4,64
160040,Hyman Fine Elementary School,Public School,Principal,Patricia Martin,790 Oak Hill Avenue,Attleboro,MA,2703,508-222-1419,508-226-0255,"K,01,02,03,04",Attleboro,160000,443,12.2,47.2,52.8,185,22.4,453,76386,81366329.22,12980.4,64
160050,Peter Thacher Elementary School,Public School,Principal,Veronica Learned,160 James Street,Attleboro,MA,2703,508-226-4162,508-226-4165,"K,01,02,03,04",Attleboro,160000,394,24.4,53.8,46.2,223,16.5,405,76386,81366329.22,12980.4,64
160305,Robert J. Coelho Middle School,Public School,Principal,Andrew Boles,99 Brown Street,Attleboro,MA,2703,508-761-7551,508-399-6506,"05,06,07,08",Attleboro,160000,663,17.5,51,49,278,24.3,689,76386,81366329.22,12980.4,64
160035,Thomas Willett Elementary School,Public School,Principal,Jeffrey Cateon,32 Watson Avenue,Attleboro,MA,2703,508-222-0286,508-223-1536,"K,01,02,03,04",Attleboro,160000,449,14,52.3,47.7,185,21.7,416,76386,81366329.22,12980.4,64
160320,Wamsutta Middle School,Public School,Principal,Joseph Connor,300 Locust Street,Attleboro,MA,2703,508-223-1540,508-226-2087,"05,06,07,08",Attleboro,160000,579,17.1,53.7,46.3,228,21.8,563,76386,81366329.22,12980.4,64
170305,Auburn Middle,Public School,Principal,Joseph Gagnon,9 West Street,Auburn,MA,1501,508-832-7722,508-832-8655,"06,07,08",Auburn,170000,624,6.6,50.6,49.4,308,19,616,69481,32811408.1,13580.88,57
170505,Auburn Senior High,Public School,Principal,Casey Handfield,99 Auburn Street,Auburn,MA,1501,508-832-7711,508-832-7710,"PK,09,10,11,12",Auburn,170000,795,9.6,48.1,51.9,561,17.3,776,69481,32811408.1,13580.88,57
170010,Bryn Mawr,Public School,Principal,Elizabeth Chamberland,35 Swanson Road,Auburn,MA,1501,508-832-7733,508-832-7735,"K,01,02",Auburn,170000,286,9.1,52.1,47.9,48,23,278,69481,32811408.1,13580.88,57
170025,Pakachoag School,Public School,Principal,Jennifer Stanick,110 Pakachoag Street,Auburn,MA,1501,508-832-7788,508-832-7787,"K,01,02",Auburn,170000,281,7.8,52.3,47.7,48,21.5,258,69481,32811408.1,13580.88,57
170030,Swanson Road Intermediate School,Public School,Principal,Susan Lopez,10 Swanson Road,Auburn,MA,1501,508-832-7744,508-832-7732,"03,04,05",Auburn,170000,537,7.4,49.3,50.7,198,21.7,556,69481,32811408.1,13580.88,57
180510,Avon Middle High School,Public School,Principal,Dawn Stockwell,287 West Main Street,Avon,MA,2322,508-583-4822,508-588-5501,"07,08,09,10,11,12",Avon,180000,319,16.3,48.3,51.4,218,13.3,320,67547,10583378.28,14284.49,60
180010,Ralph D Butler,Public School,Principal,Darrin Reynolds,1 Patrick Clark Drive,Avon,MA,2322,508-587-7009,508-583-7193,"PK,K,01,02,03,04,05,06",Avon,180000,395,14.4,52.2,47.8,98,18,404,67547,10583378.28,14284.49,60
200505,Barnstable High,Public School,Principal,Patrick Clark,744 West Main Street,Hyannis,MA,2601,508-790-6445,508-790-6430,"08,09,10,11,12",Barnstable,200000,1866,12.2,48.7,51.3,700,15.3,1837,78757,83705428.29,15012.81,55
200315,Barnstable Intermediate School,Public School,Principal,James Anderson,895 Falmouth Road,Hyannis,MA,2601,508-790-6460,508-790-6435,"06,07",Barnstable,200000,754,17.8,48.7,51.3,463,15.1,752,78757,83705428.29,15012.81,55
200050,Barnstable United Elementary School,Public School,Principal,Mary Sullivan,730 Osterville West Barnstable Road,Marston Mills,MA,2648,508-420-2272,508-420-0185,"04,05",Barnstable,200000,852,13.4,52,48,385,23.4,804,78757,83705428.29,15012.81,55
200010,Centerville Elementary,Public School,Principal,Matthew Scheufele,658 Bay Ln,Centerville,MA,2632,508-790-9890,508-790-9895,"K,01,02,03",Barnstable,200000,293,15,53.9,46.1,86,19.6,317,78757,83705428.29,15012.81,55
200001,Enoch Cobb Early Learning Center,Public School,Principal,Nicole Caucci,77 Old Craigville Road,Hyannis,MA,2601,508-790-6493,508-790-9834,PK,Barnstable,200000,126,46,54.8,45.2,18,8.3,150,78757,83705428.29,15012.81,55
200025,Hyannis West Elementary,Public School,Principal,Eleanor Amato,549 West Main Street,Hyannis,MA,2601,508-790-6480,508-790-9844,"K,01,02,03",Barnstable,200000,356,7.3,54.8,45.2,108,22.1,356,78757,83705428.29,15012.81,55
200005,West Barnstable Elementary,Public School,Principal,Karen Cloutier,2463 Main St Route 6A,West Barnstable,MA,2668,508-362-4949,508-362-1740,"K,01,02,03",Barnstable,200000,260,12.7,56.5,43.5,64,24.1,258,78757,83705428.29,15012.81,55
200045,West Villages Elementary School,Public School,Principal,Kirk Gibbons,760 Osterville-West Barnstable Road,Marstons Mills,MA,2648,508-420-1100,508-420-1486,"K,01,02,03",Barnstable,200000,441,10.9,50.3,49.7,113,27.6,460,78757,83705428.29,15012.81,55
230505,Bedford High,Public School,Principal,Heather Galante,9 Mudge Way,Bedford,MA,1730,781-275-1700,781-275-6664,"PK,09,10,11,12",Bedford,230000,888,16,50.6,49.4,593,12.3,893,79410,46616267.25,17839.45,62
230305,John Glenn Middle,Public School,Principal,Kevin Tracey,99 McMahon Road,Bedford,MA,1730,781-275-3201,781-275-7632,"06,07,08",Bedford,230000,556,17.1,50.2,49.8,419,14.5,538,79410,46616267.25,17839.45,62
230010,Lt Elezer Davis,Public School,Principal,Beth Benoit,410 Davis Rd,Bedford,MA,1730,781-275-6804,781-275-7639,"K,01,02",Bedford,230000,598,8.7,50.2,49.8,82,22,593,79410,46616267.25,17839.45,62
230012,Lt Job Lane School,Public School,Principal,Robert Ackerman,66 Sweetwater Avenue,Bedford,MA,1730,781-275-7606,781-275-4722,"03,04,05",Bedford,230000,566,17.8,53.4,46.6,132,20.5,535,79410,46616267.25,17839.45,62
240505,Belchertown High,Public School,Principal,Christine Vigneux,142 Springfield Road,Belchertown,MA,1007,413-323-9419,413-323-9406,"09,10,11,12",Belchertown,240000,710,12,50.3,49.7,419,14,707,63183,31648711.82,12591.99,67
240006,Chestnut Hill Community School,Public School,Principal,Jennifer Champagne,59 State Street,Belchertown,MA,1007,413-323-0437,413-323-0459,"04,05,06",Belchertown,240000,578,20.8,50.5,49.5,237,22.5,578,63183,31648711.82,12591.99,67
240005,Cold Spring,Public School,Principal,Andrea Mastalerz,57 South Main Street,Belchertown,MA,1007,413-323-0428,413-323-0493,"PK,K",Belchertown,240000,170,15.3,44.7,55.3,39,16.4,179,63183,31648711.82,12591.99,67
240025,Jabish Middle School,Public School,Principal,Thomas Ruscio,62 North Washington Street,Belchertown,MA,1007,413-323-0433,413-323-0450,"07,08",Belchertown,240000,395,18.5,51.9,48.1,295,15.6,409,63183,31648711.82,12591.99,67
240018,Swift River Elementary,Public School,Principal,Robert Kuhn,57 State Street,Belchertown,MA,1007,413-323-0472,413-323-0492,"01,02,03",Belchertown,240000,501,21,52.1,47.9,222,20.3,505,63183,31648711.82,12591.99,67
250003,Bellingham Early Childhood Center,Public School,Principal,Pamela Fuhrman,338 Hartford Avenue,Bellingham,MA,2019,508-966-2512,--,PK,Bellingham,250000,96,37.5,57.3,42.7,7,15.7,100,71691,33532419,13220.48,65
250505,Bellingham High School,Public School,Principal,Lucas Giguere,60 Blackstone Street,Bellingham,MA,2019,508-966-3761,508-966-4183,"08,09,10,11,12",Bellingham,250000,739,19.4,54.5,45.5,343,18.3,748,71691,33532419,13220.48,65
250315,Bellingham Memorial School,Public School,Principal,Jeffrey Croteau,130 Blackstone Street,Bellingham,MA,2019,508-883-2330,508-883-2037,"04,05,06,07",Bellingham,250000,711,17.6,49.9,50.1,251,20.2,732,71691,33532419,13220.48,65
250510,Keough Memorial Academy,Public School,Principal,David Cutler,60 Harpin Street,Bellingham,MA,2019,508-883-5403,508-883-5408,"07,08,09,10,11,12",Bellingham,250000,34,73.5,64.7,32.4,36,8.6,40,71691,33532419,13220.48,65
250020,South Elementary,Public School,Principal,Judith Lamarre,70 Harpin Street,Bellingham,MA,2019,508-883-8001,508-883-5081,"K,01,02,03",Bellingham,250000,335,13.7,50.1,49.9,72,20,360,71691,33532419,13220.48,65
250025,Stall Brook,Public School,Principal,Brenda Maurao,342 Hartford Avenue,Bellingham,MA,2019,508-966-0451,508-966-4679,"K,01,02,03",Bellingham,250000,342,13.5,46.8,53.2,84,16,337,71691,33532419,13220.48,65
